step	pg1
0	0.0001
1	0.000217822
2	0.000333268
3	0.000446338
4	0.000557032
5	0.0006653500000000001
6	0.0007712919999999999
7	0.0008748580000000001
8	0.0009760480000000001
9	0.001074862
10	0.0011713000000000001
11	0.001265362
12	0.001357048
13	0.0014463579999999998
14	0.0015332920000000001
15	0.00161785
16	0.0016832000000000001
17	0.0016634
18	0.0016436000000000003
19	0.0016238000000000001
20	0.0016040000000000002
21	0.0015842
22	0.0015644
23	0.0015446
24	0.0015248
25	0.0015049999999999998
26	0.0014852
27	0.0014654000000000002
28	0.0014456
29	0.0014258
30	0.001406
31	0.0013862
32	0.0013663999999999998
33	0.0013465999999999999
34	0.0013267999999999997
35	0.001307
36	0.0012872
37	0.0012674000000000001
38	0.0012476
39	0.0012278
40	0.001208
41	0.0011882000000000002
42	0.0011684000000000002
43	0.0011486
44	0.0011288000000000001
45	0.001109
46	0.0010892000000000002
47	0.0010694
48	0.0010496000000000001
49	0.0010298
50	0.00101
51	0.0009901999999999999
52	0.0009704
53	0.0009506
54	0.0009308
55	0.0009109999999999999
56	0.0008911999999999999
57	0.0008714
58	0.0008516000000000001
59	0.0008318000000000002
60	0.0008120000000000001
61	0.0007922000000000001
62	0.0007724
63	0.0007526000000000001
64	0.0007328
65	0.000713
66	0.0006931999999999999
67	0.0006733999999999999
68	0.0006536
69	0.0006338000000000001
70	0.0006140000000000001
71	0.0005942
72	0.0005744000000000001
73	0.0005546000000000001
74	0.0005348000000000001
75	0.000515
76	0.0004952
77	0.0004754
78	0.00045559999999999996
79	0.00043579999999999997
80	0.0004159999999999999
81	0.00039619999999999987
82	0.00037640000000000015
83	0.0003566000000000001
84	0.0003368000000000001
85	0.00031700000000000006
86	0.0002972
87	0.0002774
88	0.00025760000000000003
89	0.00023779999999999995
90	0.00021799999999999996
91	0.00019819999999999994
92	0.00017839999999999992
93	0.00015859999999999987
94	0.0001388000000000001
95	0.0001190000000000001
96	9.920000000000008e-05
97	7.940000000000006e-05
98	5.9600000000000046e-05
99	3.980000000000002e-05
