step	box_loss
0	2.2433
1	1.75262
2	1.95259
3	1.95209
4	1.8707
5	1.89311
6	1.93096
7	2.0786
8	2.16581
9	1.96904
10	1.92546
11	2.00977
12	2.09073
13	2.22397
14	2.1032
15	1.9606
16	2.03326
17	1.92777
18	2.01393
19	2.0674
20	1.9871
21	1.88832
22	2.05273
23	1.94572
24	2.04396
25	1.78505
26	1.8475
27	1.8888
28	1.87002
29	1.8229
30	1.80211
31	1.91713
32	1.78644
33	1.67974
34	1.6208
35	1.7923
36	1.72012
37	1.6704
38	1.60352
39	1.57541
40	1.68165
41	1.63675
42	1.49574
43	1.70176
44	1.68499
45	1.47233
46	1.59294
47	1.53008
48	1.48965
49	1.52165
50	1.54552
51	1.51113
52	1.45487
53	1.50091
54	1.50697
55	1.45342
56	1.32604
57	1.50855
58	1.5166
59	1.51322
60	1.37986
61	1.44051
62	1.51641
63	1.32871
64	1.32642
65	1.42757
66	1.38899
67	1.30425
68	1.38604
69	1.29822
70	1.45306
71	1.30617
72	1.23811
73	1.37397
74	1.32601
75	1.24502
76	1.2172
77	1.34758
78	1.30062
79	1.25964
80	1.34125
81	1.27786
82	1.16121
83	1.27128
84	1.20822
85	1.13514
86	1.24079
87	1.10132
88	1.06472
89	1.0766
90	0.99039
91	1.01301
92	0.981
93	0.918
94	0.97741
95	0.95448
96	1.00121
97	0.90597
98	0.84051
99	0.90124
