step	cls_loss
0	11.62242
1	9.37362
2	7.51103
3	7.04324
4	7.21576
5	7.09795
6	6.90667
7	6.94576
8	6.67393
9	6.42088
10	5.88614
11	5.36451
12	5.80356
13	5.89464
14	5.29535
15	5.19231
16	4.51836
17	4.75197
18	4.36687
19	4.4418
20	3.97473
21	3.86852
22	4.13039
23	3.82854
24	3.90618
25	3.34248
26	3.48417
27	3.20599
28	3.15894
29	3.43611
30	3.06623
31	2.9332
32	2.75949
33	2.83348
34	2.7895
35	2.78514
36	2.63731
37	2.52345
38	2.27655
39	2.47789
40	2.37769
41	2.25061
42	2.16515
43	2.25256
44	2.25474
45	2.08763
46	2.11251
47	2.18386
48	1.93909
49	2.05073
50	1.90724
51	1.8785
52	1.82316
53	1.90521
54	1.81031
55	1.81068
56	1.68431
57	1.85381
58	1.82775
59	1.88281
60	1.61393
61	1.63918
62	1.74563
63	1.53018
64	1.60416
65	1.72298
66	1.58936
67	1.481
68	1.59732
69	1.4476
70	1.47704
71	1.47789
72	1.28774
73	1.44922
74	1.4594
75	1.31914
76	1.3859
77	1.36763
78	1.53988
79	1.41954
80	1.45648
81	1.34132
82	1.32978
83	1.3037
84	1.35317
85	1.23271
86	1.33696
87	1.27659
88	1.25451
89	1.20665
90	1.59237
91	1.61974
92	1.49186
93	1.41595
94	1.53099
95	1.48504
96	1.52243
97	1.50037
98	1.35646
99	1.41994
